Probe,PROT,DMD_1,DMD_2,DMD_3,DMD_4,DMD_5,DMD_6,DMD_7,DMD_8,DMD_9,DMD_10,DMD_11,DMD_12,DMD_13,DMD_14,DMD_15,DMD_16,DMD_17,DMD_18,DMD_19,DMD_20,DMD_21,DMD_22,NOR_1,NOR_2,NOR_3,NOR_4,NOR_5,NOR_6,NOR_7,NOR_8,NOR_9,NOR_10,NOR_11,NOR_12,NOR_13,NOR_14
200908_s_at,!?,6.757888317,6.462896824,6.704916954,6.579048157,5.955503464,6.109107494,6.311142921,6.400211334,6.108232975,6.091249943,6.352771759,6.239028454,6.731624603,6.352771759,6.587692261,6.097085476,6.158809185,6.220701694,6.299443722,5.952223778,6.560623646,6.246634007,6.354072094,5.998438358,6.186506748,6.439509392,6.629604816,6.480315685,6.637870312,6.162395,6.133098125,6.816719055,6.199557781,6.382336617,6.211867332,6.304661274
200920_s_at,P62324,9.266260147,8.753052711,7.81878233,9.339475632,9.035671234,8.888422966,8.540132523,9.01053524,8.353815079,9.598882675,9.287261009,8.803058624,8.569620132,8.750674248,8.242825508,8.744597435,9.535110474,8.526516914,8.864616394,8.937600136,8.020575523,8.281351089,7.419941425,7.514614105,7.903469563,8.015818596,9.431135178,7.326817513,8.342912674,8.987480164,7.969810963,8.855786324,8.273555756,8.199165344,8.145599365,6.640646458
200921_s_at,P62324,9.10105896,8.690455437,7.741406441,9.360905647,8.857467651,8.959108353,8.223027229,8.703701019,8.400787354,9.5495224,9.521461487,8.727227211,8.812446594,8.586566925,7.779119968,8.600377083,9.440265656,8.572359085,8.840996742,8.926767349,8.198706627,8.685779572,7.687708855,7.720142841,8.086774826,8.263554573,9.10133934,6.983246326,8.426929474,8.457025528,7.830673695,8.610022545,8.425753593,8.227919579,8.309369087,6.658837795
200930_s_at,P18206,5.040415287,5.334916592,5.353981495,5.157824516,5.269132137,5.541274548,5.294944763,5.434900284,5.421872616,5.13422966,5.261853218,5.404913425,5.186092854,5.426831245,5.585737228,5.2468853,5.316680431,5.369522095,5.415104866,5.257303238,5.199068069,5.284728527,5.492259979,5.322961807,5.342368126,5.506017208,5.187796116,5.474626541,5.448069572,5.16479826,5.594968796,5.312402725,5.260782242,5.223320961,5.310305119,5.507543087
200960_x_at,P09496,9.94408989,9.713795662,9.41306591,9.901031494,9.825374603,9.455563545,9.439735413,9.661364555,9.363334656,9.998510361,9.284900665,9.533781052,9.614280701,9.498934746,9.325244904,9.734747887,9.739766121,9.475775719,9.761284828,9.951416016,9.14347744,9.586344719,9.360718727,9.546360016,9.159919739,9.078895569,9.700834274,8.803474426,9.417695999,9.747057915,9.005084038,9.643527031,9.360602379,9.386096001,9.739077568,8.964389801
200963_x_at,P62899,12.42457294,12.3326149,11.90585804,12.25058937,11.78111458,12.0595808,12.23314381,12.38420773,12.22503948,12.2033453,12.33442783,12.71844769,12.25357914,12.35621643,12.14901543,12.52221298,12.43791866,11.74393082,12.21458912,12.25353241,11.82445335,12.10258198,11.86514187,12.13859367,12.18192196,11.72844124,12.21843719,11.76948166,12.37210751,12.15827179,11.7480402,12.04680824,11.90523911,11.79221916,11.91645336,11.60113239
200991_s_at,Q15036,8.787647247,8.338709831,8.324317932,8.949244499,8.452021599,8.521079063,8.276787758,8.596067429,8.646571159,8.615032196,8.338377953,8.613651276,8.410715103,9.006372452,8.597345352,8.815692902,8.702663422,8.507340431,9.007490158,9.024360657,8.069045067,8.650303841,8.550060272,8.612078667,8.250611305,8.450112343,8.549446106,8.305252075,8.39937973,8.645209312,7.967056751,8.482563019,8.402667999,8.421545982,8.54871273,8.48920536
201003_x_at,P78545 Q9H4A4,7.775156975,8.193403244,7.819901466,8.238380432,8.249154091,7.908982277,7.796015739,7.685146809,7.882057667,7.794859409,7.830341339,7.878268242,7.878146648,7.979402065,7.432182312,7.981928349,7.876011372,8.086968422,7.732303143,8.094428062,8.006972313,8.06176281,7.902939796,7.506603718,7.731745243,7.602096081,7.790690899,7.902939796,7.49717617,7.984024525,8.009773254,8.10773468,7.957291603,8.171178818,8.219846725,8.027249336
201026_at,!?,4.511371613,5.150959015,5.322810173,4.898164749,5.126682281,5.410324574,5.057018757,4.981745243,5.042810917,4.934752941,5.087231159,4.949607372,5.580064774,4.788007736,4.969040871,4.887845993,4.651346684,5.399375916,4.879063129,4.839590549,5.464838982,5.469378948,4.923952103,5.07931757,5.081594467,5.084869862,5.018052578,5.13811636,5.159221172,5.086092949,5.735890388,5.336742878,5.071426868,5.394931793,5.214725494,5.470737457
201049_s_at,P62269,13.38825512,13.16281891,12.8224411,13.22010612,12.82530117,13.01966286,12.95767593,13.08562756,13.08562756,13.01919079,12.96375942,13.64439678,12.99171829,13.28865051,12.85550976,13.47416306,13.36157513,12.71275043,13.35327148,13.32405567,12.9179945,12.87035179,12.90509319,13.09514046,13.00532722,12.92623711,12.9326458,12.48574543,13.1588335,12.67636681,12.44790077,12.91279507,12.52904892,12.68052864,12.80449104,11.89711189
201056_at,Q14789,6.33027029,6.689675808,6.868131638,6.981515884,6.275559425,6.225827217,6.674674034,6.716104984,7.016232014,6.77182436,7.012063026,6.716104984,6.773486614,6.914856434,6.600026608,6.527777195,6.989469051,6.549362183,6.844553471,6.716104984,6.842491627,6.421003342,6.783287048,6.754732609,6.634737968,6.793465614,6.841084957,6.947571278,6.93337059,6.80906105,6.645652294,6.572621822,6.758683205,6.663648129,6.691518307,6.343569756
201114_x_at,O14818,10.23878098,9.608958244,9.273138046,10.06623363,9.621993065,9.89909935,9.673685074,9.887358665,9.843236923,10.37513542,10.23221016,9.99290657,9.977059364,10.22571468,9.218644142,10.30054474,10.68905354,9.38915062,10.10528278,9.985720634,9.313436508,9.816532135,9.847986221,10.78334999,9.872890472,10.23852634,10.39520168,9.939139366,10.16388893,10.27751064,9.459196091,10.52857113,10.03111744,9.991252899,9.732068062,9.399855614
201119_s_at,P10176,11.82277107,10.69435978,11.34732342,11.54395294,10.97939205,10.46405888,11.39425468,11.05202579,11.26093388,11.22712612,10.93261242,11.28908539,11.41447735,11.46556759,11.00192165,11.41572189,11.50046062,10.68451118,11.6524725,11.59978867,11.01293945,11.31934166,11.67889023,11.66429615,11.67198563,10.98790741,11.88751984,11.28127384,11.47308731,12.05980778,10.51298237,11.3545866,12.14751911,11.82046413,11.62244129,11.2262764
201122_x_at,P63241 Q6IS14,9.351142883,8.951421738,9.063947678,8.737876892,8.119330406,8.166285515,8.908432961,8.773975372,8.607707977,8.251639366,8.543938637,8.93088913,8.497239113,9.77103138,8.593884468,9.194436073,8.311326981,8.319326401,8.382687569,9.195503235,8.225522995,8.326979637,8.310576439,8.910171509,8.742044449,8.154979706,9.257153511,8.557330132,8.677642822,8.640939713,8.537264824,8.38904953,8.607707977,8.202517509,8.180803299,8.388604164
201140_s_at,P51148,7.522036076,7.588179588,7.341702938,7.291898727,7.30206728,6.890730858,7.154172421,7.551618576,7.705084324,7.275371075,7.260008812,7.714185715,7.719976425,7.429708958,7.66665411,8.010420799,7.404031277,7.330560684,7.965144634,7.538841724,6.935229778,7.106199265,7.64981842,7.444584846,7.445745468,7.437102795,7.619541168,7.380973339,7.263577461,7.097749233,7.034223557,7.245820999,6.891158581,7.169332027,7.385325909,7.113569736
201156_s_at,P51148,7.391211987,7.606908798,7.168310165,7.292572498,7.398988247,7.221482277,7.441964149,7.564891815,7.482056141,7.596095562,7.529896259,7.49413681,7.602191448,7.494533539,7.518676281,7.627770901,7.720677853,7.397825718,7.804455757,7.513623238,7.234455585,7.25279665,7.435718536,7.465055466,7.309984207,7.197921276,7.526633739,7.074295044,7.259503841,7.233982563,7.351448536,7.231841087,7.161363602,7.110873699,7.533661842,7.142709732
201171_at,!?,4.877897739,4.395189285,4.488430023,4.500936508,4.353545666,4.437794685,4.546318531,4.425758362,4.344275951,4.40296936,4.275350094,4.423614979,4.420556545,4.509711742,4.447566032,4.45304966,4.512369633,4.412834644,4.393226147,4.38728714,4.341910839,4.535645008,4.473522663,4.233271122,4.346145153,4.366542816,4.428362846,4.259111881,4.498244762,4.317214012,4.526203156,4.622598171,4.438203812,4.387835026,4.415333271,4.383776665
201205_at,!?,7.103391171,7.41365099,7.463971615,6.985697746,6.541928291,6.897844315,7.13399744,7.069728851,6.960042477,6.382793427,7.010447025,7.382596493,6.860217094,7.162248611,7.57700491,6.801713943,6.691145897,7.278296947,6.998689651,6.857233524,7.430168152,7.200191498,7.502216816,6.863407612,7.319020271,7.405461311,6.728767395,7.605032444,7.117295742,6.800062656,7.77927351,7.001523972,7.01188755,7.01209116,7.040682793,7.414815903
201254_x_at,P62753,11.90463924,12.00496197,12.09914684,12.23772144,12.18038845,12.25270939,12.23627663,12.27211761,12.20351505,12.45099545,12.21227741,12.27211761,12.432127,12.36287403,12.02102089,12.44096375,12.26778412,11.8501339,12.21795464,12.35617828,12.13089943,12.57713318,12.09404182,12.29325771,12.12584877,11.93158054,12.33931255,11.74382305,12.32602882,12.17120552,11.97583771,12.22652435,12.18453884,12.14999771,12.19656467,11.59867764
201265_at,!?,7.43805027,7.731087685,8.208241463,7.47229147,7.246229172,7.64085865,7.769695282,7.758730888,7.818423748,6.753613472,7.585020065,7.679786682,7.796031475,7.541342735,7.80629921,7.640471935,7.326384068,7.66646719,7.27727747,7.633330345,7.871408463,7.715527058,7.803019047,7.746868134,7.731489182,7.654984474,7.321741104,8.062252045,7.852372169,7.336262226,8.187113762,7.415339947,7.536674976,7.687242031,7.654984474,7.855992317
201322_at,P06576,11.66629124,11.01084232,11.22196674,11.70415115,11.62046432,11.22051144,11.54874516,11.39037228,11.66535568,11.4492588,11.07635307,11.49767113,11.65574932,11.78938103,10.85651493,11.57654858,11.88808823,10.93709469,12.09905624,12.00683975,11.00243568,11.836936,11.99241924,11.60454082,11.88480949,11.28211498,12.11909485,11.52952003,11.66149998,12.07964993,10.87875462,11.87014008,12.18541527,12.00927734,11.76356792,11.69044018
201353_s_at,Q9UIF9,7.064121246,6.946145058,7.180335045,7.11459589,7.420557976,7.302576065,7.129424095,7.133586884,7.020843983,7.320394039,6.979277611,6.880187988,7.192489147,6.930579662,7.018070221,6.875518799,7.000644684,7.07784462,6.842349529,7.303714275,7.110646725,7.193388462,7.09900713,7.10524559,6.861760139,6.975251198,7.334004402,7.066322327,7.10524559,7.277863979,7.10524559,7.195184708,7.276063919,7.167010784,7.235358715,7.025386333
201354_s_at,Q9UIF9,7.645310879,7.64738512,7.588661194,7.850200653,7.02215147,7.150478363,7.332940102,7.829425335,7.938621998,6.909441948,7.6907444,7.839273453,7.446898937,7.85996294,8.500466347,7.720129013,8.089670181,7.05901289,8.044421196,7.316654682,7.384187698,7.538217545,8.123039246,7.720630169,7.645310879,7.776762962,7.809499264,7.339952469,7.87287569,7.363080502,7.396652222,7.597601891,7.607891083,7.271362305,7.442240715,7.453325748
201355_s_at,Q9UIF9,7.158722878,7.477629662,7.500410557,7.354334831,7.091878414,7.172574997,7.528074741,7.498402119,7.532075405,7.051822186,7.313836098,7.382740498,7.314751148,7.42804575,7.585897446,7.476407051,7.25666523,7.188909531,7.285353184,7.334225655,7.430335999,7.42256403,7.479977131,7.157860279,7.382339478,7.387847424,7.188295364,7.548703671,7.354334831,7.354334831,7.353592873,7.561477184,7.299584389,7.369022369,7.169813633,7.217746258
201442_s_at,!?,5.165836811,5.194256306,4.974992275,5.225769043,5.061554909,5.075044155,5.10950613,5.016894817,5.112307072,5.136982918,5.251236916,5.219207287,4.972846985,5.157586575,5.24515295,5.193273544,4.981723309,5.046716213,5.109705925,5.187580585,5.147220612,5.437848568,5.26364851,5.266521454,5.173664093,5.158168793,5.177494049,5.443984509,5.368393898,5.032023907,5.251340389,5.190236568,5.114384651,5.157586575,5.151885509,5.157586575
201585_s_at,P23246,7.954190731,7.730798721,7.646951199,7.767601013,8.048352242,7.710220337,7.500445843,7.994268894,7.184484959,8.130097389,7.461314201,7.800211906,8.27849102,8.086883545,7.499314308,8.25359726,7.781713009,7.450378418,7.978839874,7.771868706,7.290622711,7.620274544,7.625051975,7.634210587,7.417740822,7.654793739,8.204616547,7.619637489,7.907140255,7.751173973,7.413035393,7.842401028,7.80467701,7.730798721,7.769257069,7.217056751
201586_s_at,P23246,7.847838879,7.169225693,7.235733509,7.724205017,8.392276764,7.607913017,6.881798744,6.730600834,6.967574596,8.302047729,6.853451729,7.214449406,7.724799156,7.344414711,6.29264307,7.647896767,6.85500288,7.143174648,7.459880829,7.808468819,7.029161453,6.973554134,6.489015579,7.269090652,7.028511047,7.053018093,8.237682343,6.863965511,7.353587151,7.199836731,6.316917419,7.038417339,7.213511944,7.217940331,7.269494057,6.759820461
201749_at,P42892,8.650826454,8.50444603,8.010834694,8.529020309,8.180290222,7.568776131,8.147790909,8.825411797,8.516422272,7.998223305,8.453128815,8.435055733,8.196707726,8.453519821,8.773721695,8.583219528,8.938486099,7.95361805,8.626125336,7.995916843,8.043932915,8.280154228,8.543949127,8.64193058,8.543210983,8.450525284,8.592625618,8.209874153,8.348585129,8.473899841,8.233476639,8.336037636,8.301171303,8.17078495,8.301918983,8.419845581
201766_at,!?,6.342992783,6.491147995,6.580986977,6.428916454,6.432553291,6.61862421,6.588842869,6.505138397,6.536356926,6.609719753,6.43474865,6.398815155,6.323619366,6.360293865,6.549097538,6.366893768,6.226027489,6.76778698,6.378473759,6.289839745,6.567687511,6.567989349,6.683252335,6.491436958,6.579894543,6.500376701,6.349063873,6.629716396,6.583310127,6.369692802,6.823366642,6.295546532,6.528482437,6.533386707,6.510272026,6.885717869
201789_at,!?,5.16192627,5.224886417,5.289643764,5.05147171,5.346180916,5.548521042,5.119734764,5.217184544,5.106678486,5.217184544,5.116625309,4.769560337,5.081392288,4.900342941,5.163654327,5.181631088,4.940950394,5.647007465,5.136585712,5.271146774,5.431952953,5.236445904,5.420593262,5.085391521,5.056514263,5.190667152,5.076968193,5.317872524,5.143321514,5.056120396,5.464208603,5.264632702,5.237999916,5.317565441,5.186405182,5.313960075
201866_s_at,P04150,8.422428131,8.342301369,7.875490665,8.571012497,8.722187996,8.05609417,7.782256126,8.180118561,8.461344719,8.231352806,8.540351868,8.637680054,8.083889961,8.234650612,7.827112675,8.000232697,8.233211517,8.335450172,8.098997116,7.451187134,8.157043457,8.2123909,8.49911499,7.583040237,8.711118698,8.855986595,8.377663612,8.393344879,8.336977959,8.15585804,8.333366394,7.985543251,8.311105728,8.355906487,8.130793571,8.285348892
202015_x_at,!?,4.216740608,4.205090523,4.383730888,4.346848965,4.28544569,4.222126484,4.35469389,4.172212601,4.278956413,4.323868752,4.283349991,4.129487038,4.364877224,4.151660919,4.401125908,4.195437908,4.228683949,4.226790905,4.244681835,4.279282093,4.416677475,4.245018482,4.33613205,4.283550739,4.2020998,4.293662071,4.435541153,4.348200321,4.19909668,4.315204144,4.363056183,4.363182068,4.225170135,4.31086731,4.283078671,4.584557533
202028_s_at,,9.446314812,9.29842186,9.809563637,9.141543388,8.062604904,8.408660889,9.656505585,8.747573853,9.266999245,7.791052341,9.43171978,8.928733826,9.523833275,8.976038933,9.178871155,8.704714775,8.234284401,8.458545685,9.007443428,8.823047638,9.526315689,9.396923065,8.694918633,8.837477684,8.873016357,8.962638855,9.390277863,10.01031685,9.365409851,8.963418007,9.561531067,9.421025276,9.028058052,9.26816082,9.155238152,9.318178177
202091_at,,5.24146986,5.380342007,5.660568714,5.145368576,5.158220291,5.555887699,5.447127819,5.377760887,5.470942497,5.12577486,5.360107422,5.420415401,5.387167454,5.175435543,5.645233631,5.247117043,5.116030693,5.600951195,5.232251167,5.319250584,5.626418114,5.445315361,5.481109142,5.325380802,5.656012058,5.353402615,5.036450386,5.920742035,5.530528545,5.307676792,5.851800919,5.336437225,5.396109104,5.349934578,5.380342007,5.85840416
202225_at,P46108,7.788921356,7.155778408,6.75693512,7.21877861,7.620558262,7.411177635,6.900981903,6.558302879,6.777264595,7.816114902,6.917271614,7.010642052,7.672507763,6.897656441,6.442989826,7.003788471,7.431584835,6.732492447,7.09265995,7.472057819,6.681698799,6.967041492,6.7784729,7.883805752,6.853726864,6.565383434,7.308551788,6.808662415,7.524944782,7.541954041,6.536791325,7.397656441,7.407309055,7.501202106,7.306429863,6.690141201
202233_s_at,P07919,11.22712517,9.812224388,10.06937408,10.81607246,10.25509357,10.03443432,10.85197544,10.25771713,10.40561771,10.57878304,10.06666088,10.31758881,10.69196701,10.82549858,9.92132473,10.6038599,11.05479622,9.808523178,11.14416313,10.62515926,9.396220207,10.49492645,10.50237274,10.93784523,10.90170574,9.922060013,11.19748497,10.2595911,10.61371899,11.25459766,9.523873329,10.81268978,11.170578,10.89867115,10.762887,9.729826927
202254_at,O43166,5.983428955,6.951505184,7.277844906,6.211274624,6.563427925,6.630930901,6.534980774,6.267278671,6.729986191,6.202169418,6.748565674,6.425825596,6.894416809,6.059206009,6.473372459,6.268091202,5.938045502,6.956892967,6.350774765,6.091474533,7.363787174,6.316021919,6.670012474,6.546719074,6.68351984,6.631706715,6.002039909,6.867073059,6.522586823,6.190939903,6.961853027,6.17633152,6.599493027,6.472842693,6.234401703,7.048661709
202267_at,Q13753,6.989993572,7.331947327,7.378189087,7.0507164,7.328802109,7.122838497,7.249787331,7.319291592,7.615577698,6.887948513,7.23487854,7.168494225,7.238217831,6.955862522,7.579673767,7.214965343,6.749789238,7.606145382,6.830534458,6.942974567,7.414059162,7.252759933,7.403296947,7.394870281,7.215436935,7.24093914,7.034304619,7.661006927,7.505648613,7.08543539,7.681114674,6.927092552,7.074402809,7.167803288,7.019862175,7.386732578
202280_at,!?,4.900741577,4.984381676,5.131043911,5.038156033,5.166864872,5.330308437,5.356467724,5.259179592,5.165966988,5.11261797,5.202365398,5.15869379,5.186947346,5.146044731,5.361689568,4.960660934,5.091955185,5.199324608,4.986270428,5.259710789,5.212633133,5.334151745,5.170129299,5.205912113,5.186947346,5.089804649,4.994190216,5.098517418,5.297131062,5.240943432,5.55577898,5.413247108,5.365971565,5.162919521,5.187710285,5.187535763
202335_s_at,P63146,4.42185688,4.274646759,4.32543993,4.318680763,4.50841856,4.437290668,4.383174419,4.194996834,4.379333019,4.743043423,4.352178574,4.27223444,4.431049347,4.323400021,4.390637875,4.316288948,4.398740292,4.371868134,4.321129799,4.41794157,4.325383663,4.48774004,4.425541401,4.525816441,4.391049385,4.335750103,4.376847744,4.398626804,4.508115292,4.52772522,4.237322807,4.827358723,4.35381031,4.536202431,4.398626804,4.424890518
