"","Study.Identifier","Country","Caregiver.intervention.type","Caregiver.intervention.subgroups","Effect.measure","Measurement.method","Measurement.type","Duration","Measurement.point","Treatment.duration","Overall","Expt_Pre_mean","Expt_Pre_N","Expt_Pre_SD","Expt_Post_mean","Expt_Post_N","Expt_Post_SD","Ctrl_Pre_mean","Ctrl_Pre_N","Ctrl_Pre_SD","Ctrl_Post_mean","Ctrl_Post_N","Ctrl_Post_SD","mean.effect","variance","standard_error"
"47","Söylemez 2016","Turkey","Multi-component intervention","PEI, CCM, GS","Caregiver burden","Caregiver burden inventory","Raw","6 months (3 months post-intervention)",180,"90","high risk",38.02,35,21.49,34.71,35,18.82,31.19,35,16.54,35.6599999999999,35,17.07,-0.414078928637001,0.230355765906761,0.479953920607761
"48","Uyar 2019","Turkey","Multi-component intervention","PEI, GS","Caregiver burden","ZBI","Raw","16 weeks",112,"112","high risk",31.43,30,18.18,27.87,26,18.39,40.17,31,18.1,40.7,28,17.66,-0.222979181823436,0.297204008589281,0.545164203327109
"55","Mercedeh 2014","Iran","Cognitive-behavioural intervention","CBT","Caregiver depression","Ham-D","Raw","post-intervention (5 weeks)",35,"35","high risk",20,10,6.16,6.7,10,2.54,12.7,10,4.57,19.3999999999999,10,9.21,-3.12688018185263,1.20138315846531,1.09607625577115
"57","Mercedeh 2014","Iran","Cognitive-behavioural intervention","CBT","Caregiver quality of life","SF36","Raw","post-intervention (5 weeks)",35,"35","high risk",58.01,10,24.01,70.98,10,11.11,47.61,10,18.32,37.57,10,12.8,1.27268156901769,0.919522675036558,0.958917449542221
"62","Orawan 2018","Thailand","Cognitive-behavioural intervention","CBT","Caregiver positive experience","Positive Aspects of Caregiving Questionnaire (PACQ)","Raw","8 weeks",56,"35","high risk",44.08,36,1.12999999999999,42.58,36,3.2,37.75,36,3.86,39.19,36,4.51999999999999,-0.849849016323953,0.26095715472119,0.510839656566705
"68","Orawan 2018","Thailand","Cognitive-behavioural intervention","CBT","Caregiver subjective wellbeing","Thai Subjective well-being Scale","Raw","8 weeks",56,"35","high risk",79.44,36,11.19,98.61,36,10.8,79.77,36,11.02,100.11,36,10.49,-0.106398545913921,0.222405014485794,0.47159836141127
"76","Pan 2019","China","Cognitive-behavioural intervention","CBT","Caregiver depression","CES-D","Raw","five monthly in-home nurse-led cognitive behavioral sessions and consultation calls after each session",150,"150","high risk",13.93,56,3.45,9.4,54,3.39,13.21,56,3.11,11.96,45,3.4,-0.972193231585893,0.167993818509143,0.409870489922296
"79","Salamizadeh 2017","Iran","Miscellaneous","MISC","Caregiver self-efficacy","General Self Efficacy scale (GSE-10)","Raw","3 weeks post-intervention (5 weekly sessions)",56,"35","high risk",29.8,26,4.8,32.7299999999999,26,4.75,28.39,28,6.41,27.85,28,5.98,0.615059837217039,0.300486332808674,0.548166336807245
"85","Lök 2017","Turkey","Psychoeducational intervention","PEI","Caregiver burden","ZBI","Raw","7 weeks",49,"49","high risk",78.3,20,4.46,67.0999999999999,20,7.18,78.45,20,3.26,79.3,20,3.79,-2.40537554934402,0.487973138987404,0.698550741884514
"86","Söylemez 2016","Turkey","Multi-component intervention","PEI, CCM, GS","Caregiver quality of life","WHO-QoL-Bref","Raw","6 months (3 months post-intervention)",180,"90","high risk",86,35,9.15,88.51,35,8.27999999999999,87.2,35,5.69,85.23,35,5.68,0.601622840164521,0.231500522273847,0.481145011689665
"88","SU 2012","China","Multi-component intervention","PEI, CCM","Patient cognitive function","MMSE","Raw","6 month post-treatment (14-day hospitalisation)",194,"14","high risk",18.36,20,3.19,19.5799999999999,20,4.2,18.5599999999999,20,3.67,19.3299999999999,20,4.15,0.115324480491499,0.404736343222562,0.636188921015261
"91","SUN 2010","China","Multi-component intervention","PEI, CCM, GS","Patient quality of life","SF36","Raw","12 months post-intervention",365,"365","some concerns",448.1,19,132.4,570.1,19,141.9,450.1,19,151,405.1,19,146.4,1.14261071017486,0.439278353457499,0.662780773301021
"93","TAN 2010","China","Multi-component intervention","PEI, CCM, GS","Patient cognitive function","MMSE","Raw","Unclear",NA,"Unclear","some concerns",15.1,60,2.56,16.12,60,2.84,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","Uyar 2019","Turkey","Multi-component intervention","PEI, GS","Caregiver anxiety","BAI","Raw","16 weeks",112,"112","high risk",10.06,30,8.89,6.18,26,7.26,12.23,31,8.05,15.47,28,9.28,-0.833625827297858,0.305635079742751,0.552842726046704
"97","Pahlavanzadeh 2010","Iran","Psychoeducational intervention","PEI","Caregiver burden","ZBI","Raw","End of intervention (5 weekly sessions)",35,"35","high risk",42,25,65.17,44.35,25,65.15,43.28,25,13.08,46.8,25,3.13,-0.0247324600551981,0.416734732457697,0.645549945749899
"98","Uyar 2019","Turkey","Multi-component intervention","PEI, GS","Caregiver depression","BDI","Raw","16 weeks",112,"112","high risk",11.62,30,8.34,9.68,26,8.45,15.23,31,7.7,20.64,28,8.94,-0.865599572367042,0.304650797335156,0.551951807076629
"100","Uyar 2019","Turkey","Multi-component intervention","PEI, GS","Caregiver distress","NPI-Q distress","Raw","16 weeks",112,"112","high risk",11.87,30,9.73,10.5,26,8.7,9.35,31,8.06,14.64,28,10.06,-0.715741569078289,0.303831097200871,0.551208760090831
"102","Uyar 2019","Turkey","Multi-component intervention","PEI, GS","Caregiver phychological quality of life","SF36 mental health","Raw","16 weeks",112,"112","high risk",41.79,30,9.024,44.87,26,8.94,42.18,31,10.52,39.47,28,9.39,0.60010863548624,0.30060165198682,0.548271513017793
"104","Uyar 2019","Turkey","Multi-component intervention","PEI, GS","Caregiver physical quality of life","SF36 Physical health","Raw","16 weeks",112,"112","high risk",41.75,30,10,45.41,26,7.94,41.59,31,9.78,37.74,28,10.77,0.762809507879283,0.304638618323614,0.551940774289791
"106","Uyar 2019","Turkey","Multi-component intervention","PEI, GS","Patient neuropsychiatric symptoms","NPI-Q severity","Raw","16 weeks",112,"112","high risk",31.18,30,23.79,26.5,26,21.99,19.41,31,16.09,30.7,28,23.78,-0.728831672063798,0.307525548311725,0.554549860978907
"108","Uyar 2019","Turkey","Multi-component intervention","PEI, GS","Patient quality of life","QoL-Ada","Raw","16 weeks",112,"112","high risk",31.18,22,6.14,31.79,17,5.41,33.29,20,4.96,32.39,17,4.33,0.280738078851878,0.473834799847278,0.6883565935235
"110","Uyar 2019","Turkey","Multi-component intervention","PEI, GS","Caregiver quality of life","SF36","Raw","16 weeks",112,"112","high risk",83.54,30,13.4670115467389,90.28,26,11.9568892275541,83.77,31,14.3638017251701,77.21,28,14.2886318449318,0.964887009110908,0.306124825925538,0.553285483205133
"113","Wang 2010b","China","Multi-component intervention","PEI, CCM, GS","Patient activities of daily life","IADL","Raw","12 months",365,"365","high risk",19.21,40,3.93,21.02,40,3.88,19.48,40,2.84,18.5,40,3.1,0.796185227710609,0.204235556814032,0.451924282169073
"115","Wang 2010b","China","Multi-component intervention","PEI, CCM, GS","Patient cognitive function","MMSE","Raw","12 months",365,"365","high risk",19.21,40,3.93,21.02,40,3.88,19.48,40,2.84,18.5,40,3.1,0.796185227710609,0.204235556814032,0.451924282169073
"116","Wang 2012e","China","Multi-component intervention","PEI, CCM, GS","Caregiver quality of life","WHO-QoL-Bref","Raw","1 month after 24-week intervention",198,"168","high risk",97.89,39,14.11,114.02,39,13.98,103.71,39,9.27999999999999,88.19,39,7.56,2.70252749038719,0.253970991006145,0.503955346242249
"121","Wang 2014a","China","Multi-component intervention","PEI, CCM, GS","Patient activities of daily life ","IADL","Raw","12 months",365,"365","high risk",34.14,62,5.35,32.99,62,6.35,34.21,61,5.74,44.53,61,7.56,-1.80869242564699,0.145281010750019,0.381157461884218
"125","Wang 2014a","China","Multi-component intervention","PEI, CCM, GS","Patient cognitive function","MMSE","Raw","12 months",365,"365","high risk",14.19,62,3.12,15.98,62,5.49,14.12,61,3.12,11.99,61,6.39,0.819671348626409,0.146936799316992,0.383323361298254
"127","Yang 2017a","China","Multi-component intervention","PEI, CCM, GS","Patient cognitive function","MMSE","Raw","12 months",365,"365","high risk",9.88,71,2.33,14.97,71,3.03,9.85,70,1.89,13.27,70,3.02,0.635599088791966,0.119102502053099,0.345112303537702
"128","Zarepour 2020","Iran","Psychoeducational intervention","PEI","Caregiver anxiety","Spielberger questionnaires","Raw","1 month post intervention",58,"28","high risk",74.11,35,4.73,70.51,35,3.78,75.63,35,3.08,76.45,35,3.45,-1.14740280697205,0.239997250785619,0.489895142643422
"133","ZHAO 2010","China","Multi-component intervention","PEI, CCM, GS","Patient quality of life","SF36","Raw","12 months",365,"365","some concerns",431.4,25,126.5,524.7,25,128.4,415.3,25,140.8,370.8,25,132.6,1.02606974364885,0.331019827764127,0.575343226052177
"21","Guerra 2011","Peru","Multi-component intervention","PEI, CBT","Patient quality of life","DEMQOL","SMD","6 months (5 weekly session intervention)",180,"35","high risk",NA,NA,NA,0.32,27,4.33156245294499,NA,NA,NA,NA,29,NA,0.31553488372093,18.7624332837628,0.578829380297653
"23","Guerra 2011","Peru","Multi-component intervention","PEI, CBT","Caregiver distress","NPI-Q distress","SMD","6 months (5 weekly session intervention)",180,"35","high risk",NA,NA,NA,-0.09,27,2.09109911521482,NA,NA,NA,NA,29,NA,-0.0887441860465116,4.37269550965222,0.279434873247143
"25","Guerra 2011","Peru","Multi-component intervention","PEI, CBT","Caregiver neuropsychiatric symptoms","NPI-Q severity","SMD","6 months (5 weekly session intervention)",180,"35","high risk",NA,NA,NA,-0.1,27,2.12844017084366,NA,NA,NA,NA,29,NA,-0.0986046511627907,4.53025756086099,0.284424781697985
"29","Guerra 2011","Peru","Multi-component intervention","PEI, CBT","Caregiver environmental quality of life","WHO-QoL-Bref","SMD","6 months (5 weekly session intervention)",180,"35","high risk",NA,NA,NA,-0.22,27,1.9604054205139,NA,NA,NA,NA,29,NA,-0.21693023255814,3.84318941278027,0.261970193669196
"31","Guerra 2011","Peru","Multi-component intervention","PEI, CBT","Caregiver phychological quality of life","WHO-QoL-Bref","SMD","6 months (5 weekly session intervention)",180,"35","high risk",NA,NA,NA,0.1,27,2.14711069865808,NA,NA,NA,NA,29,NA,0.0986046511627907,4.61008435229198,0.286919735923405
"33","Guerra 2011","Peru","Multi-component intervention","PEI, CBT","Caregiver physical quality of life","WHO-QoL-Bref","SMD","6 months (5 weekly session intervention)",180,"35","high risk",NA,NA,NA,0.49,27,1.84838225362739,NA,NA,NA,NA,29,NA,0.483162790697674,3.41651695552466,0.247000468316671
"35","Guerra 2011","Peru","Multi-component intervention","PEI, CBT","Caregiver quality of life","WHO-QoL-Bref","SMD","6 months (5 weekly session intervention)",180,"35","high risk",NA,NA,NA,0.39,27,2.01641700395715,NA,NA,NA,NA,29,NA,0.384558139534884,4.06593753384753,0.269455056345459
"49","Guerra 2011","Peru","Multi-component intervention","PEI, CBT","Caregiver burden","ZBI","SMD","6 months (5 weekly session intervention)",180,"35","high risk",NA,NA,NA,-1.02,27,3.50630248591782,NA,NA,NA,NA,29,NA,-1.00576744186047,12.2941571227535,0.468549378453509
"19","Amit 2008","India","Multi-component intervention","PEI, CCM, GS","Caregiver burden","ZBI","Regression","6 months",180,"180","high risk",NA,NA,NA,-3.29,33,13.3920989712035,NA,NA,NA,NA,26,NA,-0.242160814341471,0.0692749343799873,0.263201319107612
