# CNN model parameters:
# patch_size = 28
# num_instances = 32
# num_features = 10
# batch_size = 20
# num_samples_per_class = 5
# num_classes = 4
# subset_length = 10
# ucc_start = 1
# ucc_end = 4
# learning_rate = 0.0001
# num_steps = 1000001
# save_interval = 1000
# metrics_file = loss_data/step_loss_acc_metrics__2022_01_20__16_17_29__0123456789.txt
# init_model_file = None
# step	train_ucc_acc	train_ucc_loss	val_ucc_acc	val_ucc_loss	train_ae_loss	val_ae_loss	train_loss_weighted	val_loss_weighted
3880	1.000	0.161	0.850	0.200	0.216	0.217	0.188	0.209
3890	0.950	0.203	1.000	0.177	0.231	0.222	0.217	0.199
3900	1.000	0.115	0.950	0.199	0.221	0.227	0.168	0.213
3910	1.000	0.212	1.000	0.123	0.211	0.222	0.212	0.173
3920	0.900	0.156	0.950	0.181	0.215	0.217	0.185	0.199
3930	0.950	0.162	1.000	0.160	0.226	0.218	0.194	0.189
3940	1.000	0.130	1.000	0.147	0.226	0.221	0.178	0.184
3950	0.900	0.162	1.000	0.113	0.226	0.232	0.194	0.173
3960	1.000	0.144	0.950	0.211	0.223	0.218	0.184	0.215
3970	1.000	0.167	1.000	0.132	0.226	0.228	0.196	0.180
3980	1.000	0.201	0.950	0.196	0.228	0.233	0.214	0.214
3990	1.000	0.110	1.000	0.153	0.224	0.220	0.167	0.186
4000	1.000	0.122	1.000	0.134	0.230	0.226	0.176	0.180
4010	1.000	0.204	1.000	0.139	0.223	0.220	0.213	0.179
4020	1.000	0.134	0.950	0.127	0.220	0.199	0.177	0.163
4030	1.000	0.133	1.000	0.137	0.216	0.224	0.175	0.181
4040	1.000	0.144	1.000	0.151	0.216	0.218	0.180	0.185
4050	0.950	0.213	1.000	0.147	0.227	0.233	0.220	0.190
4060	1.000	0.098	1.000	0.089	0.224	0.214	0.161	0.151
4070	1.000	0.125	0.900	0.239	0.229	0.236	0.177	0.237
4080	1.000	0.139	1.000	0.123	0.219	0.217	0.179	0.170
4090	1.000	0.142	1.000	0.117	0.213	0.206	0.178	0.162
4100	1.000	0.132	0.950	0.157	0.206	0.220	0.169	0.188
4110	1.000	0.107	1.000	0.159	0.231	0.222	0.169	0.191
4120	1.000	0.136	0.950	0.174	0.215	0.213	0.175	0.194
4130	1.000	0.089	1.000	0.095	0.219	0.228	0.154	0.162
4140	0.950	0.210	0.950	0.223	0.222	0.218	0.216	0.220
4150	1.000	0.078	1.000	0.118	0.228	0.212	0.153	0.165
4160	0.950	0.144	1.000	0.107	0.224	0.221	0.184	0.164
4170	1.000	0.181	1.000	0.137	0.233	0.218	0.207	0.178
4180	1.000	0.163	0.950	0.167	0.222	0.236	0.193	0.201
4190	0.950	0.188	1.000	0.085	0.216	0.210	0.202	0.148
4200	0.950	0.169	1.000	0.128	0.223	0.228	0.196	0.178
4210	1.000	0.131	0.900	0.317	0.227	0.207	0.179	0.262
4220	0.950	0.136	0.950	0.177	0.205	0.221	0.170	0.199
4230	0.950	0.152	1.000	0.127	0.234	0.225	0.193	0.176
4240	1.000	0.090	1.000	0.115	0.219	0.210	0.154	0.162
4250	1.000	0.120	0.950	0.148	0.225	0.210	0.172	0.179
4260	0.800	0.315	1.000	0.086	0.215	0.218	0.265	0.152
4270	0.900	0.187	0.950	0.184	0.215	0.212	0.201	0.198
4280	1.000	0.158	1.000	0.135	0.215	0.220	0.187	0.178
4290	1.000	0.149	1.000	0.117	0.224	0.225	0.187	0.171
4300	0.900	0.210	1.000	0.090	0.218	0.218	0.214	0.154
4310	0.950	0.181	1.000	0.160	0.219	0.216	0.200	0.188
4320	1.000	0.087	1.000	0.127	0.222	0.219	0.155	0.173
4330	0.950	0.166	0.900	0.205	0.218	0.222	0.192	0.213
4340	0.950	0.146	0.950	0.142	0.222	0.226	0.184	0.184
4350	1.000	0.141	1.000	0.074	0.220	0.222	0.181	0.148
4360	0.950	0.157	1.000	0.139	0.221	0.219	0.189	0.179
4370	0.950	0.163	0.950	0.145	0.208	0.227	0.186	0.186
4380	1.000	0.086	1.000	0.119	0.225	0.230	0.156	0.174
4390	1.000	0.119	1.000	0.170	0.221	0.209	0.170	0.190
4400	0.950	0.167	1.000	0.087	0.230	0.216	0.198	0.151
4410	0.950	0.130	1.000	0.093	0.201	0.219	0.166	0.156
4420	1.000	0.128	0.950	0.121	0.225	0.223	0.177	0.172
4430	1.000	0.069	0.950	0.157	0.205	0.217	0.137	0.187
4440	0.950	0.143	1.000	0.126	0.216	0.214	0.179	0.170
4450	0.950	0.118	1.000	0.156	0.219	0.218	0.168	0.187
4460	1.000	0.109	1.000	0.077	0.212	0.218	0.161	0.148
4470	0.950	0.182	1.000	0.107	0.220	0.215	0.201	0.161
4480	1.000	0.079	1.000	0.116	0.214	0.204	0.146	0.160
4490	1.000	0.085	1.000	0.097	0.221	0.222	0.153	0.160
4500	1.000	0.104	0.950	0.122	0.222	0.209	0.163	0.166
4510	0.950	0.131	1.000	0.062	0.241	0.223	0.186	0.143
4520	0.950	0.173	1.000	0.142	0.223	0.219	0.198	0.181
4530	1.000	0.106	1.000	0.157	0.211	0.222	0.158	0.190
4540	1.000	0.120	1.000	0.126	0.217	0.224	0.168	0.175
4550	1.000	0.177	1.000	0.113	0.224	0.217	0.200	0.165
4560	1.000	0.131	1.000	0.106	0.217	0.239	0.174	0.172
4570	0.950	0.147	0.950	0.168	0.225	0.213	0.186	0.191
4580	1.000	0.134	0.950	0.114	0.209	0.224	0.172	0.169
4590	0.950	0.164	1.000	0.079	0.218	0.205	0.191	0.142
4600	1.000	0.120	1.000	0.129	0.207	0.221	0.164	0.175
4610	1.000	0.107	1.000	0.164	0.212	0.224	0.160	0.194
4620	1.000	0.082	1.000	0.098	0.216	0.219	0.149	0.159
4630	1.000	0.077	1.000	0.135	0.211	0.212	0.144	0.174
4640	1.000	0.084	1.000	0.170	0.208	0.218	0.146	0.194
4650	1.000	0.086	1.000	0.108	0.212	0.221	0.149	0.165
4660	1.000	0.069	1.000	0.092	0.208	0.203	0.139	0.148
4670	1.000	0.092	1.000	0.061	0.217	0.198	0.154	0.130
4680	1.000	0.081	1.000	0.093	0.211	0.218	0.146	0.156
4690	0.950	0.157	1.000	0.188	0.221	0.220	0.189	0.204
4700	1.000	0.081	1.000	0.077	0.212	0.205	0.146	0.141
4710	1.000	0.121	1.000	0.098	0.215	0.239	0.168	0.168
4720	1.000	0.078	1.000	0.107	0.211	0.226	0.144	0.166
4730	1.000	0.047	1.000	0.106	0.206	0.224	0.126	0.165
4740	1.000	0.077	1.000	0.066	0.202	0.206	0.139	0.136
4750	1.000	0.163	1.000	0.072	0.209	0.196	0.186	0.134
4760	1.000	0.110	1.000	0.097	0.211	0.202	0.161	0.149
4770	1.000	0.076	1.000	0.111	0.211	0.226	0.143	0.168
4780	1.000	0.082	0.950	0.095	0.217	0.219	0.149	0.157
4790	1.000	0.048	1.000	0.096	0.198	0.193	0.123	0.144
4800	1.000	0.106	1.000	0.068	0.212	0.207	0.159	0.137
4810	0.950	0.121	0.950	0.133	0.203	0.225	0.162	0.179
4820	1.000	0.102	1.000	0.086	0.216	0.219	0.159	0.152
4830	1.000	0.076	1.000	0.081	0.210	0.217	0.143	0.149
4840	0.950	0.139	0.850	0.184	0.212	0.217	0.176	0.200
4850	1.000	0.104	1.000	0.099	0.202	0.198	0.153	0.149
4860	1.000	0.094	1.000	0.077	0.210	0.217	0.152	0.147
4870	0.950	0.084	1.000	0.082	0.216	0.199	0.150	0.141
4880	1.000	0.084	0.950	0.148	0.205	0.192	0.144	0.170
4890	1.000	0.086	1.000	0.064	0.206	0.204	0.146	0.134
4900	1.000	0.141	1.000	0.101	0.212	0.214	0.176	0.158
4910	1.000	0.090	1.000	0.110	0.214	0.221	0.152	0.166
4920	1.000	0.089	1.000	0.051	0.223	0.222	0.156	0.137
4930	1.000	0.098	1.000	0.079	0.201	0.213	0.150	0.146
4940	1.000	0.067	1.000	0.069	0.201	0.217	0.134	0.143
4950	1.000	0.046	1.000	0.118	0.204	0.223	0.125	0.171
4960	1.000	0.067	1.000	0.066	0.200	0.209	0.134	0.138
4970	1.000	0.118	1.000	0.077	0.209	0.214	0.163	0.146
4980	1.000	0.142	1.000	0.063	0.224	0.238	0.183	0.151
4990	1.000	0.084	1.000	0.067	0.206	0.206	0.145	0.136
5000	1.000	0.069	1.000	0.092	0.210	0.199	0.139	0.146
5010	1.000	0.071	1.000	0.075	0.209	0.220	0.140	0.147
5020	1.000	0.082	1.000	0.057	0.221	0.204	0.151	0.130
5030	1.000	0.095	0.950	0.097	0.218	0.198	0.157	0.147
5040	0.950	0.100	1.000	0.092	0.205	0.213	0.152	0.153
5050	1.000	0.104	1.000	0.084	0.200	0.211	0.152	0.148
5060	1.000	0.062	0.950	0.177	0.203	0.221	0.133	0.199
5070	1.000	0.062	0.950	0.130	0.202	0.203	0.132	0.166
5080	1.000	0.062	1.000	0.054	0.199	0.217	0.131	0.136
5090	0.950	0.107	0.950	0.101	0.212	0.226	0.159	0.163
5100	1.000	0.099	1.000	0.110	0.207	0.212	0.153	0.161
5110	1.000	0.060	1.000	0.083	0.210	0.210	0.135	0.147
5120	1.000	0.064	1.000	0.089	0.196	0.206	0.130	0.147
5130	1.000	0.081	1.000	0.061	0.203	0.200	0.142	0.131
5140	1.000	0.084	1.000	0.046	0.198	0.205	0.141	0.125
5150	0.950	0.114	0.950	0.119	0.195	0.208	0.155	0.163
5160	0.950	0.131	1.000	0.092	0.218	0.199	0.175	0.146
5170	1.000	0.087	0.900	0.127	0.218	0.193	0.153	0.160
5180	1.000	0.055	1.000	0.113	0.212	0.216	0.134	0.165
5190	1.000	0.061	1.000	0.095	0.200	0.209	0.130	0.152
5200	1.000	0.094	1.000	0.067	0.200	0.197	0.147	0.132
5210	1.000	0.068	1.000	0.065	0.203	0.195	0.135	0.130
5220	1.000	0.072	1.000	0.053	0.202	0.197	0.137	0.125
5230	1.000	0.076	0.950	0.092	0.209	0.203	0.143	0.148
5240	1.000	0.076	1.000	0.063	0.196	0.211	0.136	0.137
5250	1.000	0.064	1.000	0.057	0.201	0.212	0.133	0.134
5260	1.000	0.074	1.000	0.081	0.205	0.213	0.139	0.147
5270	1.000	0.073	1.000	0.066	0.210	0.204	0.142	0.135
5280	1.000	0.081	1.000	0.068	0.194	0.211	0.138	0.139
5290	1.000	0.068	1.000	0.063	0.196	0.204	0.132	0.133
5300	1.000	0.063	1.000	0.084	0.195	0.201	0.129	0.143
5310	1.000	0.055	1.000	0.049	0.191	0.204	0.123	0.126
5320	1.000	0.103	1.000	0.083	0.225	0.206	0.164	0.144
5330	0.950	0.128	1.000	0.035	0.202	0.196	0.165	0.115
5340	1.000	0.081	1.000	0.051	0.209	0.200	0.145	0.126
5350	0.950	0.103	0.950	0.098	0.218	0.203	0.161	0.150
5360	1.000	0.058	1.000	0.064	0.213	0.216	0.135	0.140
5370	1.000	0.056	1.000	0.088	0.201	0.201	0.129	0.145
5380	1.000	0.059	1.000	0.076	0.191	0.200	0.125	0.138
5390	1.000	0.054	0.950	0.084	0.200	0.200	0.127	0.142
5400	0.950	0.092	1.000	0.044	0.202	0.199	0.147	0.122
5410	1.000	0.030	1.000	0.050	0.202	0.205	0.116	0.128
5420	1.000	0.100	1.000	0.107	0.210	0.209	0.155	0.158
5430	0.950	0.114	1.000	0.075	0.225	0.224	0.169	0.150
5440	1.000	0.109	1.000	0.046	0.196	0.194	0.153	0.120
5450	0.950	0.127	1.000	0.071	0.203	0.213	0.165	0.142
5460	1.000	0.043	1.000	0.039	0.205	0.202	0.124	0.121
5470	0.950	0.101	1.000	0.040	0.203	0.190	0.152	0.115
5480	1.000	0.044	1.000	0.090	0.207	0.205	0.125	0.147
5490	1.000	0.065	1.000	0.071	0.197	0.203	0.131	0.137
5500	1.000	0.090	1.000	0.075	0.211	0.201	0.151	0.138
5510	1.000	0.045	1.000	0.098	0.206	0.211	0.126	0.154
5520	0.950	0.099	1.000	0.069	0.204	0.193	0.152	0.131
5530	1.000	0.045	1.000	0.077	0.196	0.206	0.121	0.142
5540	1.000	0.087	1.000	0.041	0.194	0.200	0.141	0.120
5550	1.000	0.065	1.000	0.094	0.204	0.196	0.135	0.145
5560	1.000	0.095	1.000	0.074	0.191	0.193	0.143	0.134
5570	1.000	0.091	0.950	0.086	0.192	0.201	0.141	0.143
5580	1.000	0.068	1.000	0.046	0.182	0.194	0.125	0.120
5590	1.000	0.060	0.950	0.118	0.201	0.200	0.131	0.159
5600	1.000	0.093	1.000	0.040	0.192	0.188	0.143	0.114
5610	1.000	0.060	1.000	0.069	0.186	0.207	0.123	0.138
5620	1.000	0.054	1.000	0.079	0.194	0.198	0.124	0.138
5630	1.000	0.065	1.000	0.079	0.209	0.190	0.137	0.135
5640	1.000	0.062	1.000	0.047	0.203	0.193	0.132	0.120
5650	1.000	0.050	1.000	0.069	0.192	0.204	0.121	0.137
5660	1.000	0.054	1.000	0.081	0.205	0.194	0.129	0.138
5670	1.000	0.070	1.000	0.040	0.209	0.191	0.140	0.116
5680	1.000	0.040	1.000	0.052	0.193	0.198	0.117	0.125
5690	1.000	0.051	1.000	0.028	0.196	0.190	0.123	0.109
5700	1.000	0.043	1.000	0.076	0.190	0.195	0.117	0.135
5710	0.950	0.102	1.000	0.046	0.196	0.204	0.149	0.125
5720	1.000	0.067	1.000	0.070	0.191	0.210	0.129	0.140
5730	1.000	0.038	1.000	0.044	0.210	0.195	0.124	0.119
5740	1.000	0.042	0.950	0.092	0.221	0.225	0.131	0.158
5750	1.000	0.030	1.000	0.051	0.197	0.192	0.113	0.121
5760	1.000	0.067	1.000	0.065	0.201	0.212	0.134	0.139
5770	1.000	0.057	1.000	0.056	0.184	0.190	0.121	0.123
5780	1.000	0.037	1.000	0.044	0.190	0.186	0.113	0.115
5790	1.000	0.028	1.000	0.034	0.186	0.206	0.107	0.120
5800	1.000	0.058	1.000	0.037	0.208	0.188	0.133	0.112
5810	1.000	0.039	0.950	0.074	0.180	0.193	0.109	0.133
5820	1.000	0.037	1.000	0.090	0.193	0.210	0.115	0.150
5830	1.000	0.068	1.000	0.043	0.193	0.197	0.130	0.120
5840	1.000	0.065	1.000	0.096	0.206	0.196	0.136	0.146
5850	1.000	0.062	1.000	0.026	0.196	0.199	0.129	0.112
5860	1.000	0.033	1.000	0.040	0.199	0.181	0.116	0.111
5870	1.000	0.043	1.000	0.058	0.187	0.203	0.115	0.131
5880	1.000	0.050	1.000	0.084	0.196	0.220	0.123	0.152
5890	1.000	0.050	1.000	0.072	0.195	0.189	0.123	0.130
5900	1.000	0.059	1.000	0.065	0.187	0.206	0.123	0.135
5910	1.000	0.098	1.000	0.074	0.191	0.200	0.145	0.137
5920	0.950	0.094	1.000	0.037	0.199	0.207	0.146	0.122
5930	0.950	0.084	1.000	0.074	0.204	0.204	0.144	0.139
5940	1.000	0.051	1.000	0.045	0.209	0.205	0.130	0.125
5950	1.000	0.078	1.000	0.041	0.197	0.186	0.137	0.113
5960	1.000	0.046	1.000	0.038	0.188	0.181	0.117	0.110
5970	1.000	0.037	1.000	0.047	0.188	0.199	0.113	0.123
5980	1.000	0.029	1.000	0.054	0.188	0.197	0.109	0.125
5990	1.000	0.055	1.000	0.033	0.183	0.191	0.119	0.112
6000	1.000	0.045	1.000	0.036	0.192	0.205	0.119	0.120
6010	1.000	0.055	1.000	0.041	0.191	0.186	0.123	0.114
6020	1.000	0.048	1.000	0.034	0.183	0.194	0.115	0.114
6030	1.000	0.047	1.000	0.020	0.201	0.197	0.124	0.109
6040	1.000	0.070	1.000	0.055	0.202	0.206	0.136	0.131
6050	1.000	0.068	1.000	0.032	0.193	0.190	0.131	0.111
6060	1.000	0.050	1.000	0.042	0.199	0.197	0.125	0.120
6070	1.000	0.044	1.000	0.040	0.177	0.182	0.110	0.111
6080	1.000	0.034	1.000	0.041	0.198	0.195	0.116	0.118
6090	1.000	0.038	1.000	0.047	0.197	0.199	0.117	0.123
6100	1.000	0.044	1.000	0.033	0.193	0.210	0.118	0.121
6110	1.000	0.071	1.000	0.059	0.198	0.189	0.135	0.124
6120	1.000	0.065	1.000	0.054	0.186	0.192	0.125	0.123
6130	1.000	0.054	1.000	0.070	0.208	0.196	0.131	0.133
6140	1.000	0.047	1.000	0.050	0.192	0.202	0.120	0.126
6150	1.000	0.064	1.000	0.042	0.199	0.194	0.132	0.118
6160	1.000	0.063	1.000	0.042	0.176	0.200	0.119	0.121
6170	1.000	0.025	1.000	0.035	0.198	0.191	0.111	0.113
6180	1.000	0.040	1.000	0.056	0.176	0.201	0.108	0.129
6190	1.000	0.016	1.000	0.054	0.182	0.183	0.099	0.118
6200	1.000	0.061	1.000	0.028	0.209	0.189	0.135	0.109
6210	0.950	0.107	1.000	0.054	0.185	0.199	0.146	0.126
6220	1.000	0.041	1.000	0.082	0.189	0.190	0.115	0.136
6230	1.000	0.043	1.000	0.078	0.211	0.205	0.127	0.141
6240	1.000	0.037	1.000	0.050	0.185	0.197	0.111	0.124
6250	1.000	0.028	1.000	0.055	0.193	0.197	0.110	0.126
6260	1.000	0.060	1.000	0.025	0.189	0.172	0.124	0.099
6270	1.000	0.045	1.000	0.051	0.203	0.194	0.124	0.123
6280	1.000	0.052	1.000	0.039	0.197	0.192	0.125	0.116
6290	1.000	0.033	1.000	0.060	0.191	0.205	0.112	0.132
6300	1.000	0.043	1.000	0.021	0.181	0.192	0.112	0.107
6310	1.000	0.030	1.000	0.029	0.200	0.196	0.115	0.113
6320	0.950	0.096	1.000	0.043	0.193	0.188	0.145	0.116
6330	1.000	0.062	1.000	0.037	0.205	0.196	0.134	0.117
6340	1.000	0.027	1.000	0.047	0.184	0.194	0.106	0.120
6350	1.000	0.030	1.000	0.046	0.179	0.189	0.105	0.117
6360	1.000	0.040	1.000	0.041	0.184	0.199	0.112	0.120
6370	1.000	0.056	1.000	0.025	0.186	0.187	0.121	0.106
6380	1.000	0.041	1.000	0.047	0.199	0.195	0.120	0.121
6390	1.000	0.029	1.000	0.020	0.187	0.191	0.108	0.105
6400	1.000	0.053	1.000	0.029	0.194	0.194	0.123	0.112
6410	1.000	0.068	1.000	0.022	0.198	0.191	0.133	0.107
6420	1.000	0.022	1.000	0.021	0.189	0.184	0.105	0.103
6430	0.950	0.090	1.000	0.028	0.188	0.192	0.139	0.110
6440	1.000	0.041	1.000	0.026	0.197	0.187	0.119	0.107
6450	1.000	0.062	1.000	0.080	0.190	0.194	0.126	0.137
6460	1.000	0.045	1.000	0.062	0.182	0.190	0.114	0.126
6470	1.000	0.030	1.000	0.040	0.188	0.189	0.109	0.115
6480	1.000	0.047	0.950	0.091	0.193	0.201	0.120	0.146
6490	0.950	0.087	1.000	0.074	0.179	0.194	0.133	0.134
6500	1.000	0.071	0.950	0.078	0.198	0.211	0.135	0.144
6510	1.000	0.011	1.000	0.041	0.181	0.182	0.096	0.111
6520	1.000	0.036	1.000	0.012	0.206	0.180	0.121	0.096
6530	1.000	0.080	1.000	0.024	0.201	0.200	0.140	0.112
6540	1.000	0.041	1.000	0.038	0.173	0.186	0.107	0.112
6550	1.000	0.031	1.000	0.057	0.191	0.181	0.111	0.119
6560	1.000	0.022	1.000	0.024	0.195	0.191	0.109	0.107
6570	1.000	0.039	1.000	0.042	0.197	0.188	0.118	0.115
6580	1.000	0.038	1.000	0.032	0.186	0.184	0.112	0.108
6590	1.000	0.033	1.000	0.020	0.198	0.190	0.115	0.105
6600	1.000	0.029	1.000	0.024	0.189	0.186	0.109	0.105
6610	1.000	0.050	1.000	0.029	0.194	0.185	0.122	0.107
6620	1.000	0.059	1.000	0.051	0.197	0.200	0.128	0.126
6630	1.000	0.021	1.000	0.054	0.170	0.185	0.096	0.119
6640	1.000	0.062	1.000	0.039	0.203	0.180	0.133	0.110
6650	1.000	0.032	0.950	0.099	0.195	0.192	0.113	0.145
6660	1.000	0.020	0.950	0.080	0.185	0.198	0.103	0.139
6670	1.000	0.029	1.000	0.021	0.185	0.174	0.107	0.098
6680	1.000	0.034	1.000	0.046	0.184	0.197	0.109	0.121
6690	0.950	0.066	1.000	0.038	0.191	0.186	0.128	0.112
6700	1.000	0.039	0.950	0.093	0.191	0.184	0.115	0.138
6710	1.000	0.059	1.000	0.054	0.187	0.191	0.123	0.122
6720	1.000	0.029	1.000	0.038	0.191	0.185	0.110	0.112
6730	1.000	0.022	1.000	0.023	0.182	0.174	0.102	0.098
6740	1.000	0.038	1.000	0.049	0.192	0.180	0.115	0.114
6750	1.000	0.030	1.000	0.031	0.186	0.183	0.108	0.107
6760	1.000	0.056	1.000	0.037	0.180	0.184	0.118	0.111
6770	1.000	0.043	1.000	0.045	0.175	0.196	0.109	0.120
6780	1.000	0.059	1.000	0.048	0.183	0.193	0.121	0.120
6790	1.000	0.039	1.000	0.013	0.178	0.190	0.109	0.102
6800	1.000	0.040	1.000	0.022	0.194	0.195	0.117	0.108
6810	1.000	0.029	1.000	0.024	0.197	0.184	0.113	0.104
6820	1.000	0.023	1.000	0.051	0.173	0.189	0.098	0.120
6830	1.000	0.036	1.000	0.043	0.198	0.182	0.117	0.112
6840	1.000	0.024	0.950	0.138	0.186	0.181	0.105	0.159
6850	1.000	0.014	1.000	0.024	0.187	0.191	0.100	0.108
6860	1.000	0.034	1.000	0.020	0.183	0.189	0.108	0.105
6870	1.000	0.023	0.950	0.063	0.178	0.192	0.101	0.127
6880	1.000	0.040	1.000	0.027	0.184	0.180	0.112	0.104
6890	1.000	0.021	1.000	0.029	0.188	0.187	0.104	0.108
6900	1.000	0.031	0.950	0.068	0.185	0.177	0.108	0.122
6910	1.000	0.032	1.000	0.025	0.184	0.192	0.108	0.109
6920	1.000	0.055	1.000	0.057	0.184	0.178	0.119	0.118
6930	1.000	0.050	1.000	0.028	0.181	0.187	0.116	0.108
6940	1.000	0.021	1.000	0.024	0.184	0.191	0.102	0.108
6950	1.000	0.028	1.000	0.055	0.197	0.206	0.112	0.130
6960	1.000	0.057	0.950	0.080	0.187	0.190	0.122	0.135
6970	1.000	0.050	1.000	0.035	0.190	0.195	0.120	0.115
6980	1.000	0.061	1.000	0.025	0.189	0.176	0.125	0.101
6990	1.000	0.053	1.000	0.043	0.196	0.191	0.125	0.117
7000	1.000	0.031	0.950	0.098	0.192	0.175	0.112	0.136
7010	1.000	0.059	1.000	0.052	0.182	0.187	0.120	0.119
7020	1.000	0.024	1.000	0.022	0.189	0.189	0.106	0.106
7030	1.000	0.017	1.000	0.019	0.185	0.191	0.101	0.105
7040	1.000	0.015	1.000	0.041	0.190	0.195	0.103	0.118
7050	1.000	0.020	1.000	0.017	0.186	0.193	0.103	0.105
7060	1.000	0.031	1.000	0.058	0.189	0.186	0.110	0.122
7070	1.000	0.034	1.000	0.053	0.187	0.187	0.111	0.120
7080	1.000	0.022	1.000	0.027	0.192	0.183	0.107	0.105
7090	1.000	0.021	1.000	0.039	0.186	0.184	0.103	0.111
7100	1.000	0.023	1.000	0.021	0.191	0.192	0.107	0.107
7110	1.000	0.027	1.000	0.040	0.178	0.180	0.103	0.110
7120	1.000	0.017	1.000	0.018	0.176	0.187	0.096	0.102
7130	1.000	0.021	1.000	0.037	0.183	0.189	0.102	0.113
